eco_id	eco_name	slug	oneearth_title	match_type	score
148	Northern New Guinea lowland rain and freshwater swamp forests	northern-new-guinea-lowland-rain-and-freshwater-swamp-forests	Northern New Guinea Lowland Rain and Freshwater Swamp Forests	norm_exact	1.0000
149	Northern New Guinea montane rain forests	northern-new-guinea-montane-rainforests	Northern New Guinea Montane Rainforests	norm_exact	1.0000
150	Queensland tropical rain forests	queensland-tropical-rainforests	Queensland Tropical Rainforests	norm_exact	1.0000
151	Seram rain forests	seram-rainforests	Seram Rainforests	norm_exact	1.0000
152	Solomon Islands rain forests	solomon-islands-rainforests	Solomon Islands Rainforests	norm_exact	1.0000
153	Southeast Papuan rain forests	southeastern-papuan-rainforests	Southeastern Papuan Rainforests	fuzzy_auto	0.9492
154	Southern New Guinea freshwater swamp forests	southern-new-guinea-freshwater-swamp-forests	Southern New Guinea Freshwater Swamp Forests	norm_exact	1.0000
155	Southern New Guinea lowland rain forests	southern-new-guinea-lowland-rainforests	Southern New Guinea Lowland Rainforests	norm_exact	1.0000
156	Sulawesi lowland rain forests	sulawesi-lowland-rainforests	Sulawesi Lowland Rainforests	norm_exact	1.0000
157	Sulawesi montane rain forests	sulawesi-montane-rainforests	Sulawesi Montane Rainforests	norm_exact	1.0000
158	Trobriand Islands rain forests	trobriand-islands-rainforests	Trobriand Islands Rainforests	norm_exact	1.0000
159	Vanuatu rain forests	vanuatu-rainforests	Vanuatu Rainforests	norm_exact	1.0000
160	Vogelkop montane rain forests	vogelkop-montane-rainforests	Vogelkop Montane Rainforests	norm_exact	1.0000
161	Vogelkop-Aru lowland rain forests	vogelkop-aru-lowland-rainforests	Vogelkop-Aru Lowland Rainforests	norm_exact	1.0000
162	Yapen rain forests	yapen-rainforests	Yapen Rainforests	norm_exact	1.0000
163	Lesser Sundas deciduous forests	lesser-sundas-deciduous-forests	Lesser Sundas Deciduous Forests	norm_exact	1.0000
164	New Caledonia dry forests	new-caledonia-dry-forests	New Caledonia Dry Forests	norm_exact	1.0000
165	Sumba deciduous forests	sumba-deciduous-forests	Sumba Deciduous Forests	norm_exact	1.0000
166	Timor and Wetar deciduous forests	timor-and-wetar-deciduous-forests	Timor and Wetar Deciduous Forests	norm_exact	1.0000
167	Chatham Island temperate forests	chatham-island-temperate-forests	Chatham Island Temperate Forests	norm_exact	1.0000
