id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
85042	Ifat				tgn:8711679	Ifat	nation				42.57	11.11	POINT (42.57 11.11)		tgn:8711679	1200	1450
85043	Ife			NG	dbp:Ife;dplace:Af34;tgn:7000498	Ife	inhabited places				4.560324	7.482405	POINT (4.560324 7.482405)		tgn:7000498	500	1500
85044	Ife				dbp:Ife;dplace:Af34;tgn:7000498;whg:85043	Ife	nation				4.560324	7.482405	POINT (4.560324 7.482405)		tgn:7000498	1800	1900
85045	Ifni				dbp:Ifni;tgn:1003760	Ifni	nation				-10.1333	29.25	POINT (-10.1333 29.25)		tgn:1003760	1850	1900
85046	Ifriqiyah				dbp:Ifriqiya	Ifriqiyah	nation				7	35	POINT (7 35)		dbp:Ifriqiya	622	627
85047	Igala					Igala	nation									500	1500
85048	Igbo				gn:2338640;wd:Q1024641;tgn:6002714	Igbo	nation				7.020271	6.017978	POINT (7.020271 6.017978)		tgn:6002714	1880	1910
85049	Igbo States					Igbo States	nation									1625	1625
85050	Iglesias			IT	tgn:1044936	Iglesias	inhabited places				8.535	39.311389	POINT (8.535 39.311389)		tgn:1044936	1100	1400
85051	Igluligardjuk			CA		Igluligardjuk	inhabited places									700	1500
85052	Iglulik Inuit				dbp:Igloolik	Iglulik Inuit	cultural group				-81.7994	69.3761	POINT (-81.79940000000001 69.37609999999999)		dbp:Igloolik	700	1500
85053	Iguagu					Iguagu	river									1887	1938
85054	Iguvium			IT	dbp:Gubbio;tgn:7005048	Iguvium;Gubbio	inhabited places				12.583333	43.35	POINT (12.583333 43.35)		tgn:7005048	-240	-240
85055	Ihnasya el-Medina			EG		Ihnasya el-Medina	inhabited places									-2040	-1640
85056	Ijebu				dbp:Ijebu_Kingdom	Ijebu	nation									1800	1900
85057	Ijebu Ode			NG	dbp:Ijebu_Ode	Ijebu Ode	inhabited places				3.92083	6.82083	POINT (3.92083 6.82083)		dbp:Ijebu_Ode	1800	1900
85058	Ikkur			EG		Ikkur	inhabited places									-2040	-1640
85059	Ikoruga			JP		Ikoruga	inhabited places									-100	650
85060	Il-Khanate				dbp:Ilkhanate	Il-Khanate	region;nation									1310	1360
85061	Il-Khans, Khanate of the					Il-Khans, Khanate of the	nation									1225	1350
85062	Ile Ste-Marguerite			FR		Ile Ste-Marguerite	fortification									1648	1715
85063	Ile d'Oleron			FR		Ile d'Oleron	fortification									1648	1715
85064	Ile de Ré			FR	dbp:Île_de_Ré	Ile de Ré;Ile de Re	fortification				-1.41667	46.2	POINT (-1.41667 46.2)		dbp:Île_de_Ré	1648	1715
85065	Ileret			KE	dbp:Ileret;tgn:7016553	Ileret	archaeological site;inhabited places				36.2333	4.3	POINT (36.2333 4.3)		tgn:7016553	-10000	-500
85066	Ilesha Kingdom					Ilesha Kingdom	nation									1800	1900
